script,nominal_waves,period_steps,actual_cycles_after_start,step,schedule_ratio,wsd_ratio,block_lr,gamma_lr
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,45,1.0,0.046,8.28e-05,8.28e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,46,1.0,0.047,8.46e-05,8.46e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,47,1.0,0.048,8.64e-05,8.64e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,48,1.0,0.049,8.82e-05,8.82e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,49,1.0,0.05,9e-05,9e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,50,1.0,0.051,9.18e-05,9.18e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,51,1.0,0.052,9.36e-05,9.36e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,52,1.0,0.053,9.54e-05,9.54e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,53,1.0,0.054,9.719999999999999e-05,9.719999999999999e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,54,1.0,0.055,9.9e-05,9.9e-05
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,55,1.0,0.056,0.0001008,0.0001008
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,56,1.0,0.057,0.0001026,0.0001026
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,57,1.0,0.058,0.0001044,0.0001044
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,58,1.0,0.059,0.00010619999999999999,0.00010619999999999999
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,59,1.0,0.06,0.000108,0.000108
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,60,1.0,0.061,0.0001098,0.0001098
